Date,Start time,Runner(s),Game,Category,Estimate
11-8-2019,12:00,BSG,Intro,Start%,0:30:00
11-8-2019,12:40,ArayaLoL,Pokémon Diamond/Pearl,Any%,1:15:00
11-8-2019,14:05,ShuriBear,Ninja Gaiden Black,Any%,2:30:00
11-8-2019,16:45,janglestorm,First Samurai,Any%,0:21:00
11-8-2019,17:16,JimB162 vs Flutz123,Out of Gas,Any% (Randomized Level Order),1:25:00
11-8-2019,18:51,ZnTSaito vs Crrool,Lufia II: Rise of the Sinistrals,Gades% Retry,1:25:00
11-8-2019,20:26,RDVvsTheWorld,Yoshi's Crafted World,Any% Classic Mode,2:40:00
11-8-2019,23:16,Riekelt,The Legend of Zelda: The Wind Waker,Randomizer,2:40:00
12-8-2019,02:06,Boxmeister,Final Fantasy V,Any% GBA,4:45:00
12-8-2019,07:06,ShadowFrost,Learn with Pokémon: Typing Adventure,Catch Mew%,0:53:00
12-8-2019,08:09,Kinnin11,Okami,NG+ any%,1:23:00
12-8-2019,09:42,YumeTsubasaCH,Mole Mania,All Levels,1:15:00
12-8-2019,11:07,ThePlumberHimself,Zapper: One Wicked Cricket,any%,0:25:00
12-8-2019,11:42,JimB162,Animorphs,100% / 125%,0:50:00
12-8-2019,12:52,Tricrow,XCOM2,Any% No save abuse - Heroes,2:35:00
12-8-2019,15:37,NepumukGaming,Ink,any%,0:15:00
12-8-2019,16:02,Relvoi,Splatoon 2,Hero Mode Any%,1:55:00
12-8-2019,18:07,YourEverydaySpeedrunner,Portal,Glitchless,0:20:00
12-8-2019,18:37,Knipje vs theVug,Portal 2,NoSLA Inbounds,1:50:00
12-8-2019,20:37,Badkiara,Shantae: Risky's Revenge,Any%,0:25:00
12-8-2019,21:12,janglestorm,Shantae and the Pirate's Curse,Any% Pirate Mode (No OoB) / All Dark Magic Pirate Mode (no OoB),1:00:00
12-8-2019,22:37,TehHammerShow,Grand Theft Auto: Vice City,Any% (NO SSU),1:10:00
12-8-2019,23:57,Nattyo,Crash Team Racing,Any% Warpless,0:55:00
13-8-2019,01:12,S4nsSkill,Mario Kart: Double Dash,All Cup Tour,0:42:00
13-8-2019,02:04,Wizboy73,Rayman M,All races,0:32:00
13-8-2019,02:46,Thextera_,Rayman,Any%,1:25:00
13-8-2019,04:21,DoubleDubbel,RWBY: Grimm Eclipse,Solo No Skips - Ruby,1:10:00
13-8-2019,05:41,Sniperwave,Valkyrie Profile: Covenant of the Plume,C-Ending,2:00:00
13-8-2019,07:51,TheRolePlayingGuy,Sword Art Online: Fatal Bullet,Easy Any% NG+,2:30:00
13-8-2019,10:31,Rasschla & Kaethil,Harry Potter and the Goblet of Fire,Any% Co-op,1:30:00
13-8-2019,12:11,Firefox__ & Knipje,Portal 2,Coop all main courses%,1:00:00
13-8-2019,13:38,Riekelt & CertainlySomeoneHere,Lara Croft and the Guardian of Light,NG+ Any% Coop,0:32:00
13-8-2019,14:20,theVug,Jazz Jackrabbit 2,Episode 1-4 ,0:25:00
13-8-2019,14:55,JimB162,Wave Race: Blue Storm,Official Nintendo Competition,0:20:00
13-8-2019,15:25,SiverIGuess,[Setup Buffer] Lemma,Any%,0:40:00
13-8-2019,16:15,NilsRunsFast,Rayman 2: The Great Escape,Any%,1:30:00
13-8-2019,17:55,YumeTsubasaCH vs Kinnin11,Kirby's Dream Land,Beat the Game,0:15:00
13-8-2019,18:20,SLweed vs ArayaLoL,Pokémon Yellow,Any% Glitchless Race,2:10:00
13-8-2019,20:40,Grumpmeister,Zaku,Any%,0:40:00
13-8-2019,21:30,Boxmeister,Metroid Spooky Mission,100% v1.2,0:45:00
13-8-2019,22:25,LinkaMeister,Hyper Metroid,Any%,1:17:00
13-8-2019,23:52,DistroTV,Halo 5: Guardians,Legendary,1:45:00
14-8-2019,01:47,AlaeusSR vs Shadowfrost,Super Mario Galaxy,Any%,2:45:00
14-8-2019,04:52,Tricrow,Renown explorers international society ,Any%,0:15:00
14-8-2019,05:17,Crrool,Poképark 2: Wonders Beyond ,Any%,3:05:00
14-8-2019,08:32,Xita,Bastion,Any% No MMS,0:20:00
